상호명,업종,주소,링크,주차,비고
노사이드,일식,서울특별시 마포구 와우산로37길 48,,불가,오꼬노미야끼
방콕익스프레스,타이,서울특별시 서대문구 연세로2 93-7 백송빌딩1층,http://map.naver.com/local/siteview.nhn?code=36860497,불가,
에노테카오토,이탈리안,서울특별시 서대문구 연희동 130-13,http://map.naver.com/local/siteview.nhn?code=36410880,불가,
길우진퀴진,브런치,서울특별시 이화여대7길 31-3,http://map.naver.com/local/siteview.nhn?code=21403118,불가,
무앙,베이커리,서울특별시 강남구 도곡로93길 12 우성206동,http://map.naver.com/local/siteview.nhn?code=33093388,불가,
보난자,독일,서울특별시 마포구 양화로16길 30,http://map.naver.com/local/siteview.nhn?code=11603760,불가,슈바인학센
오곡현미빵,베이커리,대구광역시 달서구 월서로 24,http://map.naver.com/local/siteview.nhn?code=16308628,불가,현미식빵
다복식당,한식,대구광역시 달서구 월배로38길 12,http://map.naver.com/local/siteview.nhn?code=16311553,불가,아구찜
개정,한식,대구광역시 중구 동성로3길 52,http://map.naver.com/local/siteview.nhn?code=31949488,불가,전주비빔밥
미성복어불고기,한식,대구광역시 수성구 들안로 87,http://map.naver.com/local/siteview.nhn?code=11724371,발렛,
